Município;Estado;Nome do Incumbente;Nome do Principal Adversário em 2016;Nome do Principal Adversário em 2020;População;ln_pop;Faixa de População;Região do País;Gênero;reeleito;Partido;Número efetivo de candidatos de 2020;Número efetivo de candidatos de 2016;delta_nec (2020-2016);Votos válidos 2016;Abstenção 2016;Eleitores 2016;Voto do Incumbente em 2016;Voto do Principal Adversário de 2016;% do eleitorado do Incumbente 2016;% do eleitorado do P, Adversário 2016;Vantagem do Incumbente no primeiro turno 2016;Votos válidos 2020;Abstenção 2020;Eleitores 2020;Voto do Incumbente em 2020;Voto do Principal Adversário de 2020;% do eleitorado do Incumbente 2020;% do eleitorado do P, Adversário 2020;Vantagem do Incumbente no primeiro turno 2020;delta_vantagem (2020-2016);Atividade com maior valor adicionado bruto;Produto Interno Bruto per capita,  a preços correntes (R$ 1,00);Durante o período da pandemia do COVID-19 foi necessário manter pessoas por mais de 24 horas em unidades sem internação;Foi instalado hospital de campanha durante a pandemia da COVID-19 no município;Houve a instalação de tendas de triagem para o combate da COVID-19, no município;Local (público ou privado) com condições de realizar testes PCR ou sorológicos em pacientes suspeitos de COVID-19 - existência;Nos casos de internação por COVID-19, houve necessidade de referenciar o(s) paciente(s) para outro município;O número de internações ultrapassou a capacidade de leitos e de unidades de tratamento intensivo (UTI) públicos ou privados con;O número de leitos foi ampliado para atender à demanda por internação no município em virtude da COVID-19;Serviço de atendimento de emergência - Serviço público municipal;Vigilância epidemiológica;Obrigatoriedade de máscara;Dias da eleição - Máscara;Dias da eleição - Máscara (Normalizado);;Início da restrição ao comércio;Dias da eleição - Restrição ao comércio;Dias da eleição - Restrição ao comércio (Normalizado);;IFDM 2016;IFDM Saúde 2016;IFDM Emprego 2016;IFDM 2020;IFDM Saúde 2020;IFDM Emprego 2020;delta_firjan_geral_16_20;piora_geral_16_20;delta_firjan_saude_16_20;piora_saude_16_20;delta_firjan_emprego_16_20;piora_emprego_16_20
Castelo;ES;PIASSI;DOMINGOS FRACAROLI;JOAO PAULO NALI;37.956;11;4 - 20001 até 50000;3 - Sudeste;MASCULINO;0;MDB;4,060716371;4,622936891;-0,56222052;23380;4775;28155;10564;7795;38;28;10;21.969;6898;28867;2029;6690;7;23;-16;-26;Demais serviços;29.086,42;Não;Não;Sim;Sim;Sim;Sim;Sim;Não;Sim;04/05/2020;195;0,737142857;DECRETO 17298;21/03/2020;239;0,943181818;https://g1,globo,com/es/espirito-santo/noticia/2020/03/20/governo-do-es-determina-fechamento-do-comercio-por-15-dias-para-evitar-avanco-do-novo-coronavirus,ghtml;0,5945;0,541;0,6697;0,6792;0,6612;0,7367;0,0847;0;0,1202;0;0,067;0
Guarapari;ES;EDSON MAGALHÃES;CARLOS VON;CARLOS VON;128.504;12;6 - 100001 até 500000;3 - Sudeste;MASCULINO;1;PSDB;3,656135049;2,477225745;1,178909304;69888;18362;88250;27926;27772;32;31;0;68.436;24175;92611;23068;20453;25;22;3;3;Demais serviços;18.272,89;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;17/04/2020;212;0,834285714;https://www,portal27,com,br/novo-decreto-exige-uso-de-mascaras-e-deixa-alguns-comercios-sem-limitacao-de-horario-em-guarapari/;18/03/2020;242;0,977272727;DECRETO Nº, 203/2020;0,5499;0,5524;0,6513;0,605;0,5478;0,6563;0,0551;0;-0,0046;1;0,005;0
Linhares;ES;GUERINO ZANON;ELIANA;LUCAS SCARAMUSSA;179.755;12;6 - 100001 até 500000;3 - Sudeste;MASCULINO;1;MDB;2,54768768;1,76009909;0,78758859;88885;21264;110149;59147;11562;54;10;43;84.316;29836;114152;41581;22162;36;19;17;-26;Demais serviços;37.766,15;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;21/04/2020;208;0,811428571;https://www,agazeta,com,br/es/norte/linhares-obriga-o-uso-de-mascaras-no-comercio-e-no-servico-publico-0420;18/03/2020;242;0,977272727;DECRETO Nº 372, DE 18 DE MARÇO DE 2020;0,6356;0,5824;0,8128;0,7101;0,6434;0,8459;0,0745;0;0,061;0;0,0331;0
Vila velha;ES;MAX FILHO;NEUCIMAR FRAGA;ARNALDINHO BORGO;508.655;13;7 - Maior que 500000;3 - Sudeste;MASCULINO;0;PSDB;4,157709605;3,581891483;0,575818121;251572;65056;316628;80297;65745;25;21;5;235.849;79375;315224;46523;73122;15;23;-8;-13;Demais serviços;25.115,27;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;31/05/2020;168;0,582857143;DECRETO Nº 127, DE 31 DE maio DE 2020;21/03/2020;239;0,943181818;https://g1,globo,com/es/espirito-santo/noticia/2020/03/20/governo-do-es-determina-fechamento-do-comercio-por-15-dias-para-evitar-avanco-do-novo-coronavirus,ghtml;0,6062;0,601;0,7466;0,6493;0,6579;0,7448;0,0431;0;0,0569;0;-0,0018;1
Aparecida de goiania;GO;GUSTAVO MENDANHA;MARLÚCIO PEREIRA;BRUNO FELIPE;601.844;13;7 - Maior que 500000;5 - Centro-Oeste;MASCULINO;1;MDB;1,024250703;2,272033237;-1,247782534;233088;47760;280848;122122;42966;43;15;28;229.049;79700;308749;197491;6235;64;2;62;34;Demais serviços;25.173,46;Não;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;20/07/2020;118;0,297142857;Decreto nº 260;03/04/2020;226;0,795454545;PORTARIA N° 13/2020-GAB/SMS;0,5641;0,5782;0,7395;0,622;0,5999;0,771;0,0579;0;0,0217;0;0,0315;0
Catalao;GO;ADIB ELIAS;JARDEL SEBBA;ELDER GALDINO;113.091;12;6 - 100001 até 500000;5 - Centro-Oeste;MASCULINO;1;PODE;2,358923461;1,885930003;0,472993459;58930;6412;65342;37561;14631;57;22;35;54.578;16482;71060;28984;14356;41;20;21;-15;Indústrias de transformação;65.498,10;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;19/04/2020;210;0,822857143;Decreto Nº 9653 DE 19/04/2020 ;17/03/2020;243;0,988636364;DECRETO Nº 2,046, DE 17 DE MARÇO DE 2020,;0,6321;0,6005;0,7477;0,679;0,6861;0,7776;0,0469;0;0,0856;0;0,0299;0
Itumbiara;GO;ZÉ ANTÔNIO;ALVARO GUIMARÃES;DIONE DA FAMÓVEIS;106.845;12;6 - 100001 até 500000;5 - Centro-Oeste;MASCULINO;0;REPUBLICANOS;3,759861963;1,903698126;1,856163837;59436;7686;67122;36143;14050;54;21;33;54.084;18120;72204;8054;16640;11;23;-12;-45;Demais serviços;45.096,18;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;19/04/2020;210;0,822857143;Decreto Nº 9653 DE 19/04/2020 ;20/03/2020;240;0,954545455;DECRETO Nº 256/2020;0,6642;0,4923;0,8461;0,7102;0,567;0,8453;0,046;0;0,0747;0;-0,0008;1
Rio verde;GO;PAULO DO VALE;HEULER;DR OSVALDO;247.259;12;6 - 100001 até 500000;5 - Centro-Oeste;MASCULINO;1;DEM;2,277057229;2,75376937;-0,476712141;105806;11772;117578;47963;26988;41;23;18;96.573;36236;132809;45580;37402;34;28;6;-12;Demais serviços;49.156,63;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;04/06/2020;164;0,56;DECRETO 1129/2020;06/04/2020;223;0,761363636;DECRETO 812;0,6225;0,4681;0,8571;0,6758;0,5503;0,8925;0,0533;0;0,0822;0;0,0354;0
Senador canedo;GO;DIVINO LEMES;ZELIO CANDIDO;FERNANDO PELLOZO;121.447;12;6 - 100001 até 500000;5 - Centro-Oeste;MASCULINO;0;PODE;2,029659384;3,627025354;-1,597365969;56819;8792;65611;11160;9657;17;15;2;62.814;14178;76992;17279;36807;22;48;-25;-28;Indústrias de transformação;32.428,11;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;19/04/2020;210;0,822857143;Decreto Nº 9653 DE 19/04/2020 ;21/03/2020;239;0,943181818;https://g1,globo,com/es/espirito-santo/noticia/2020/03/20/governo-do-es-determina-fechamento-do-comercio-por-15-dias-para-evitar-avanco-do-novo-coronavirus,ghtml;0,4845;0,443;0,5955;0,5426;0,5275;0,6076;0,0581;0;0,0845;0;0,0121;0
Balsas;MA;DR, ERIK;CHICO COELHO;ZÉ GABRIEL;96.951;11;5 - 50001 até 100000;2 - Nordeste;MASCULINO;1;PDT;1,368280698;2,239843369;-0,871562671;48031;4830;52861;23751;17233;45;33;12;47.017;12186;59203;37475;7152;63;12;51;39;Agricultura, inclusive apoio à agricultura e a pós colheita;49.786,61;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;05/05/2020;194;0,731428571;DECRETO 35;21/03/2020;239;0,943181818;DECRETO 024;0,3826;0,2213;0,6267;0,5222;0,4823;0,6844;0,1396;0;0,261;0;0,0577;0
Caxias;MA;FABIO GENTIL;LEO COUTINHO;ADELMO SOARES;166.159;12;6 - 100001 até 500000;2 - Nordeste;MASCULINO;1;REPUBLICANOS;1,481871429;1,999506279;-0,517634851;83469;6859;90328;39171;37959;43;42;1;84.362;16638;101000;62075;10334;61;10;51;50;Administração, defesa, educação e saúde públicas e seguridade social;11.564,24;Sim;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;30/04/2020;199;0,76;DECRETO Nº 152, DE 30 DE ABRIL DE 2020;22/03/2020;238;0,931818182;DECRETO N°94/2020;0,3809;0,3574;0,406;0,4444;0,4835;0,3896;0,0635;0;0,1261;0;-0,0164;1
Coroata;MA;LUIS DA AMOVELAR FILHO;TERESA MURAD;EDIMAR FRANCO;65.788;11;5 - 50001 até 100000;2 - Nordeste;MASCULINO;1;PT;2,863919066;2,009126249;0,854792817;34191;3585;37776;16624;14718;44;39;5;34.109;8195;42304;13952;10572;33;25;8;3;Administração, defesa, educação e saúde públicas e seguridade social;7.318;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;04/05/2020;195;0,737142857;Decreto n° 29 de 04 de maio de 2020,;14/04/2020;215;0,670454545;Decreto n° 20 de 14 de abril de 2020,;0,3775;0,45;0,312;0,4632;0,4935;0,3366;0,0857;0;0,0435;0;0,0246;0
Grajau;MA;MERCIAL ARRUDA;SIMONE LIMEIRA;MARINALDO DO GESSO;70.692;11;5 - 50001 até 100000;2 - Nordeste;MASCULINO;1;MDB;2,339617437;2,084021811;0,255595626;38416;8893;47309;20352;14785;43;31;12;36.081;6685;42766;17289;14177;40;33;7;-4;Administração, defesa, educação e saúde públicas e seguridade social;11.911,80;Sim;Não;Sim;Sim;Sim;Não;Sim;Não;Sim;20/04/2020;209;0,817142857;Decreto Nº 35746 DE 20/04/2020;21/03/2020;239;0,943181818;DECRETO 014/2020;0,249;0,1182;0,4609;0,372;0,3004;0,4927;0,123;0;0,1822;0;0,0318;0
Tutoia;MA;ROMILDO DO HOSPITAL;ALEXANDRE BAQUIL;DIRINGA;59.927;11;5 - 50001 até 100000;2 - Nordeste;MASCULINO;0;PSDB;3,213864757;2,61001262;0,603852138;29809;9887;39696;14573;7353;37;19;18;29.665;5389;35054;6504;13258;19;38;-19;-37;Administração, defesa, educação e saúde públicas e seguridade social;7.306,30;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;20/04/2020;209;0,817142857;Decreto Nº 35746 DE 20/04/2020;21/03/2020;239;0,943181818;https://g1,globo,com/es/espirito-santo/noticia/2020/03/20/governo-do-es-determina-fechamento-do-comercio-por-15-dias-para-evitar-avanco-do-novo-coronavirus,ghtml;0,2457;0,184;0,3247;0,3431;0,2878;0,3372;0,0974;0;0,1038;0;0,0125;0
Belo horizonte;MG;KALIL;JOÃO LEITE;BRUNO ENGLER;2.530.701;15;7 - Maior que 500000;3 - Sudeste;MASCULINO;1;PSD;2,331870818;4,849016622;-2,517145804;1509919;417537;1927456;314845;395952;16;21;-4;1.392.551;550633;1943184;784307;123215;40;6;34;38;Demais serviços;38.670,40;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;16/04/2020;213;0,84;DECRETO Nº 17,332, DE 16 DE ABRIL DE 2020;18/03/2020;242;0,977272727;Decreto - 17304/2020;0,7509;0,744;0,8552;0,781;0,7702;0,8631;0,0301;0;0,0262;0;0,0079;0
Betim;MG;VITTORIO MEDIOLI;IVAIR NOGUEIRA;MARIA DO CARMO;450.024;13;6 - 100001 até 500000;3 - Sudeste;MASCULINO;1;PSD;1,65010065;2,400273522;-0,750172872;236007;42226;278233;119750;30001;43;11;32;229.695;44807;274502;153144;28906;56;11;45;13;Indústrias de transformação;58.871,28;Sim;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;20/03/2020;240;0,994285714;DECRETO Nº 42,029;15/04/2020;214;0,659090909;DECRETO 42,079;0,651;0,6221;0,7591;0,7006;0,7332;0,7842;0,0496;0;0,1111;0;0,0251;0
Montes claros;MG;HUMBERTO SOUTO;LENINHA;RUY MUNIZ;417.478;13;6 - 100001 até 500000;3 - Sudeste;MASCULINO;1;CIDADANIA;1,361003229;2,488463608;-1,127460379;216973;45523;262496;76595;48834;29;19;11;220.486;58788;279274;177592;15184;64;5;58;48;Demais serviços;23.426,26;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Sim;20/03/2020;240;0,994285714;Decreto nº, 4007, 20 de março de 2020;22/04/2020;207;0,579545455;Decreto nº, 4029, 17 DE ABRIL DE 2020;0,6622;0,6487;0,7026;0,6777;0,7114;0,7404;0,0155;0;0,0627;0;0,0378;0
Ribeirao das neves;MG;JUNYNHO MARTINS;ANTONIO CARLOS CANTOR;DELEI;341.415;13;6 - 100001 até 500000;3 - Sudeste;MASCULINO;1;DEM;2,688986502;2,461521749;0,227464753;160709;35424;196133;68656;39167;35;20;15;165.873;48972;214845;72679;35398;34;16;17;2;Administração, defesa, educação e saúde públicas e seguridade social;13.099,23;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;15/04/2020;214;0,845714286;DECRETO Nº 42/2020,;23/03/2020;237;0,920454545;DECRETO Nº 28/2020,;0,4821;0,4961;0,4867;0,5081;0,5078;0,4883;0,026;0;0,0117;0;0,0016;0
Uberlandia;MG;ODELMO LEÃO;ALEXANDRE ANDRADE;ADRIANO ZAGO;706.597;13;7 - Maior que 500000;3 - Sudeste;MASCULINO;1;PP;1,91217319;1,79384549;0,1183277;385705;92545;478250;250390;57807;52;12;40;360.437;126113;486550;228390;39584;47;8;39;-1;Demais serviços;53.828,78;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;18/04/2020;211;0,828571429;https://www,almg,gov,br/acompanhe/noticias/arquivos/2020/04/18_sancao_governador_lei_mascaras_violencia_mulher,html;20/03/2020;240;0,954545455;DECRETO Nº 18,553, DE 20 DE MARÇO DE 2020,;0,7515;0,7419;0,8991;0,7853;0,8119;0,9102;0,0338;0;0,07;0;0,0111;0
Amambai;MS;DR BANDEIRA;GILMAR VICENTIN;ZÉ BAMBIL;40.247;11;4 - 20001 até 50000;5 - Centro-Oeste;MASCULINO;1;PSDB;1,902500104;3,351483298;-1,448983195;19092;5453;24545;7221;5203;29;21;8;19.144;6751;25895;11157;7038;43;27;16;8;Administração, defesa, educação e saúde públicas e seguridade social;32.016,94;Não;Não;Sim;Sim;Sim;Sim;Sim;Não;Sim;11/05/2020;188;0,697142857;https://www,amambainoticias,com,br/2020/05/11/uso-obrigatorio-de-mascara-e-toque-de-recolher-a-partir-desta-segunda/;21/03/2020;239;0,943181818;https://amambai,ms,gov,br/noticia/15283/bandeira-assina-decreto-que-dispoe-sobre-funcionamento-de-estabelecimentos-e-determina-toque-de-recolher/;0,3932;0,1634;0,6198;0,5291;0,3581;0,6399;0,1359;0;0,1947;0;0,0201;0
Aquidauana;MS;ODILON RIBEIRO;PINHEIRO;DRA    VIVIANE ORRO;48.184;11;4 - 20001 até 50000;5 - Centro-Oeste;MASCULINO;1;PSDB;1,712717172;2,030162298;-0,317445126;26084;8352;34436;15061;7594;44;22;22;25.736;9287;35023;17939;5036;51;14;37;15;Administração, defesa, educação e saúde públicas e seguridade social;21.548,90;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;15/05/2020;184;0,674285714;DECRETO MUNICIPAL N,º 080/2020;28/03/2020;232;0,863636364;DECRETO MUNICIPAL N,º 041/2020;0,4844;0,481;0,6211;0,5508;0,5346;0,6221;0,0664;0;0,0536;0;0,001;0
Navirai;MS;DR IZAURI;LÉO MATOS;RHAIZA MATOS;56.484;11;5 - 50001 até 100000;5 - Centro-Oeste;MASCULINO;0;DEM;3,585246779;1,57009977;2,015147009;27986;8038;36024;19120;5984;53;17;36;26.309;9858;36167;7493;8873;21;25;-4;-40;Demais serviços;45.633,80;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;27/04/2020;202;0,777142857;DECRETO Nº 46, DE 27 ABRIL DE 2020,;23/03/2020;237;0,920454545;DECRETO Nº 27, DE 23 MARÇO DE 2020,;0,6595;0,5876;0,8005;0,6906;0,6321;0,7613;0,0311;0;0,0445;0;-0,0392;1
Nova andradina;MS;GILBERTO GARCIA;ROBERTO HASHIOKA;ROBERTO HASHIOKA;56.057;11;5 - 50001 até 100000;5 - Centro-Oeste;MASCULINO;1;PL;2,561241663;2,741537027;-0,180295363;25620;7824;33444;10172;10145;30;30;0;24.419;8947;33366;11139;9240;33;28;6;6;Demais serviços;45.159,29;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;02/07/2020;136;0,4;LEI 1581;24/03/2020;236;0,909090909;https://valedoivinhemagora,com,br/decreto-poe-nova-andradina-em-situacao-de-emergencia-e-comercio-fecha-as-portas-por-15-dias/;0,6461;0,4947;0,7766;0,7391;0,6366;0,8246;0,093;0;0,1419;0;0,048;0
Tres lagoas;MS;ANGELO GUERREIRO;JORGE MARTINHO;FABRÍCIO VENTUROLI;125.137;12;6 - 100001 até 500000;5 - Centro-Oeste;MASCULINO;1;PSDB;2,159566969;2,112937758;0,046629211;58136;17707;75843;30033;17675;40;23;16;57.810;26163;83973;33331;11606;40;14;26;10;Indústrias de transformação;94.305,67;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;11/05/2020;188;0,697142857;https://www,amambainoticias,com,br/2020/05/11/uso-obrigatorio-de-mascara-e-toque-de-recolher-a-partir-desta-segunda/;21/03/2020;237;0,920454545;;0,6555;0,6203;0,833;0,7307;0,6995;0,8553;0,0752;0;0,0792;0;0,0223;0
Campo novo do parecis;MT;RAFAEL MACHADO;CLOVIS DE PAULA;PIM;36.917;11;4 - 20001 até 50000;5 - Centro-Oeste;MASCULINO;1;PSL;2,999212616;2,790554462;0,208658154;15815;5003;20818;6337;5356;30;26;5;17.743;7066;24809;6395;5902;26;24;2;-3;Agricultura, inclusive apoio à agricultura e a pós colheita;127.547,83;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;22/04/2020;207;0,805714286;LEI ESTADUAL Nº 11,110, DE 22 DE ABRIL DE 2020,;23/03/2020;237;0,920454545;DECRETO Nº 51, DE 23 DE MARÇO DE 2020,;0,6194;0,4922;0,8859;0,6609;0,5176;0,8858;0,0415;0;0,0254;0;-1E-04;1
Cuiaba;MT;EMANUEL PINHEIRO;WILSON SANTOS;ABILIO;623.614;13;7 - Maior que 500000;5 - Centro-Oeste;MASCULINO;1;MDB;3,908919125;3,748298818;0,160620307;332438;82660;415098;98051;81531;24;20;4;294.861;83236;378097;82367;90631;22;24;-2;-6;Demais serviços;42.918,31;Sim;Não;Sim;Sim;Não;Sim;Sim;Sim;Sim;16/04/2020;213;0,84;DECRETO 7885;20/03/2020;240;0,954545455;DECRETO 7849;0,6975;0,691;0,8765;0,7113;0,6898;0,8726;0,0138;0;-0,0012;1;-0,0039;1
Juina;MT;ALTIR PERUZZO;DR, EMÍLIO POPULO;PAULO VERONESE;41.190;11;4 - 20001 até 50000;5 - Centro-Oeste;MASCULINO;0;PT;2,08227444;2,088030762;-0,005756322;23630;7660;31290;12187;9088;39;29;10;22.111;9767;31878;8004;12057;25;38;-13;-23;Demais serviços;28.732,52;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;22/04/2020;207;0,805714286;LEI ESTADUAL Nº 11,110, DE 22 DE ABRIL DE 2020,;04/04/2020;225;0,784090909;DECRETO Nº 416, DE 04 DE ABRIL DE 2020,;0,61;0,4934;0,7706;0,6847;0,6024;0,7966;0,0747;0;0,109;0;0,026;0
Pontes e lacerda;MT;ALCINO BARCELOS;ROMES;INSPETOR ANTONIO;46.105;11;4 - 20001 até 50000;5 - Centro-Oeste;MASCULINO;1;REPUBLICANOS;1,450370127;2,142587833;-0,692217706;22370;5250;27620;11817;7861;43;28;14;21.990;8448;30438;16761;3988;55;13;42;28;Demais serviços;43.762,66;Sim;Não;Sim;Sim;Sim;Sim;Sim;Não;Sim;22/04/2020;207;0,805714286;LEI ESTADUAL Nº 11,110, DE 22 DE ABRIL DE 2020,;20/03/2020;240;0,954545455;DECRETO MUNICIPAL Nº 056, DE 20/03/2020;0,5845;0,4999;0,7814;0,6075;0,4496;0,8373;0,023;0;-0,0503;1;0,0559;0
Sorriso;MT;ARI LAFIN;DILCEU ROSSATO;XUXU DAL MOLIN;94.941;11;5 - 50001 até 100000;5 - Centro-Oeste;MASCULINO;1;PSDB;1,621821871;2,009286557;-0,387464686;41435;11125;52560;21008;17551;40;33;7;43.665;17313;60978;30179;10524;49;17;32;26;Agricultura, inclusive apoio à agricultura e a pós colheita;98.278,56;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;22/04/2020;207;0,805714286;LEI ESTADUAL Nº 11,110, DE 22 DE ABRIL DE 2020,;23/03/2020;237;0,920454545;https://g1,globo,com/mt/mato-grosso/noticia/2020/03/22/para-prevenir-coronavirus-prefeitura-de-sorriso-mt-decreta-situacao-de-emergencia-e-fecha-comercio,ghtml;0,6513;0,563;0,911;0,7207;0,6209;0,9422;0,0694;0;0,0579;0;0,0312;0
Abaetetuba;PA;CHITA;ELTON MAUÉS;FRANCINETI CARVALHO;160.439;12;6 - 100001 até 500000;1 - Norte;MASCULINO;0;MDB;4,676251317;4,584662699;0,091588618;88935;15730;104665;25735;20366;25;19;5;95.032;18629;113661;20615;26153;18;23;-5;-10;Administração, defesa, educação e saúde públicas e seguridade social;10.413,48;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;21/04/2020;208;0,811428571;DECRETO 473/2020;16/03/2020;244;1;Decreto Nº 609 DE 16/03/2020;0,3181;0,3049;0,3421;0,3888;0,3381;0,3518;0,0707;0;0,0332;0;0,0097;0
Braganca;PA;RAIMUNDÃO;EDSON OLIVEIRA;RENATO OLIVEIRA;130.122;12;6 - 100001 até 500000;1 - Norte;MASCULINO;1;PSDB;2,43891794;3,080331286;-0,641413346;67161;8306;75467;27437;22138;36;29;7;67.338;16140;83478;38481;12356;46;15;31;24;Administração, defesa, educação e saúde públicas e seguridade social;10.682,63;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;12/05/2020;187;0,691428571;DECRETO 115/2020;15/04/2020;214;0,659090909;https://redepara,com,br/Noticia/212281/prefeitura-de-braganca-determina-fechamento-do-comercio;0,2593;0,2417;0,3567;0,3735;0,3795;0,3555;0,1142;0;0,1378;0;-0,0012;1
Breves;PA;TONINHO BARBOSA;LUTH REBELO;XARÃO LEÃO;104.280;12;6 - 100001 até 500000;1 - Norte;MASCULINO;0;REPUBLICANOS;3,096992495;2,973170401;0,123822094;47918;13310;61228;17268;17116;28;28;0;54.468;14884;69352;12473;19220;18;28;-10;-10;Administração, defesa, educação e saúde públicas e seguridade social;8.185,99;Não;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;14/05/2020;185;0,68;https://agenciapara,com,br/noticia/19537/estado-publica-lei-que-obriga-o-uso-de-mascaras-em-todo-territorio-paraense;16/03/2020;244;1;Decreto Nº 609 DE 16/03/2020;0,2723;0,2526;0,3946;0,3287;0,3155;0,3714;0,0564;0;0,0629;0;-0,0232;1
Castanhal;PA;PEDRO COELHO;PAULO TITAN;TITAN;205.667;12;6 - 100001 até 500000;1 - Norte;MASCULINO;0;CIDADANIA;4,956156494;2,578973911;2,377182582;107408;13873;121281;52285;29602;43;24;19;105.384;24574;129958;24457;26857;19;21;-2;-21;Demais serviços;21.122,55;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;14/05/2020;185;0,68;https://agenciapara,com,br/noticia/19537/estado-publica-lei-que-obriga-o-uso-de-mascaras-em-todo-territorio-paraense;01/05/2020;198;0,477272727;https://g1,globo,com/pa/para/noticia/2020/05/01/apos-entrar-em-colapso-na-saude-castanhal-decreta-fechamento-do-comercio-nao-essencial,ghtml;0,4208;0,4409;0,5685;0,4876;0,4824;0,5933;0,0668;0;0,0415;0;0,0248;0
Itaituba;PA;VALMIR CLIMACO;IVAN DALMEIDA;IVAN DALMEIDA;101.541;12;6 - 100001 até 500000;1 - Norte;MASCULINO;1;MDB;1,537509193;2,641179023;-1,10366983;55199;20239;75438;26293;15244;35;20;15;57.574;26401;83975;42077;12270;50;15;35;21;Demais serviços;25.900,08;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;14/05/2020;185;0,68;https://agenciapara,com,br/noticia/19537/estado-publica-lei-que-obriga-o-uso-de-mascaras-em-todo-territorio-paraense;12/06/2020;156;0;DECRETO 082;0,3118;0,1698;0,516;0,3884;0,2891;0,556;0,0766;0;0,1193;0;0,04;0
Alagoa grande;PB;SOBRINHO;JOSILDO OLIVEIRA;BÔDA;28.384;10;4 - 20001 até 50000;2 - Nordeste;MASCULINO;1;PP;2,893935994;2,461921954;0,43201404;17689;6331;24020;7474;6704;31;28;3;17.556;3924;21480;7000;4969;33;23;9;6;Administração, defesa, educação e saúde públicas e seguridade social;9.884,10;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;28/05/2020;171;0,6;DECRETO 43/2020;19/03/2020;241;0,965909091;DECRETO 19/2020;0,3776;0,5484;0,3099;0,3906;0,5135;0,3285;0,013;0;-0,0349;1;0,0186;0
Areia;PB;JOÃO FRANCISCO;PAULO MOVEIS;DRA SILVIA;22.493;10;4 - 20001 até 50000;2 - Nordeste;MASCULINO;0;PSDB;2,079695152;1,944270085;0,135425067;15701;3884;19585;8873;5254;45;27;18;14.727;3220;17947;6040;7248;34;40;-7;-25;Administração, defesa, educação e saúde públicas e seguridade social;10.754,72;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;11/05/2020;188;0,697142857;DECRETO 15/2020;21/03/2020;239;0,943181818;DECRETO 005/2020;0,3504;0,3893;0,3387;0,5009;0,6483;0,3683;0,1505;0;0,259;0;0,0296;0
Cajazeiras;PB;ZÉ ALDEMIR;DRA DENISE;DRA DENISE;62.576;11;5 - 50001 até 100000;2 - Nordeste;MASCULINO;1;PP;2,556951634;2,151547057;0,405404577;36762;8653;45415;16926;15839;37;35;2;36.462;7959;44421;16416;12688;37;29;8;6;Demais serviços;18.213,02;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;18/05/2020;181;0,657142857;DECRETO 22/2020;18/05/2020;181;0,284090909;DECRETO 22/2020;0,4905;0,6037;0,4851;0,5743;0,6495;0,4923;0,0838;0;0,0458;0;0,0072;0
